2022-8888,1,ATP Cup,ATP Cup,8888,atp-cup,"Sydney, Australia",2022.01.01,2022,1,1,16,16,Outdoor,Hard,"$10,000,000",USD,10000000,/en/scores/archive/atp-cup/8888/2022/results,Felix Auger-Aliassime,/en/players/felix-auger-aliassime/ag37/overview,felix-auger-aliassime,ag37,,,,,,,,
2022-8998,2,ATP 250,Adelaide 1,8998,adelaide,"Adelaide, Australia",2022.01.03,2022,1,3,28,24,Outdoor,Hard,"$416,800",USD,416800,/en/scores/archive/adelaide/8998/2022/results,Gael Monfils,/en/players/gael-monfils/mc65/overview,gael-monfils,mc65,Rohan Bopanna,/en/players/rohan-bopanna/b757/overview,rohan-bopanna,b757,Ramkumar Ramanathan,/en/players/ramkumar-ramanathan/rb56/overview,ramkumar-ramanathan,rb56
2022-9665,3,ATP 250,Melbourne,9665,melbourne,"Melbourne, Australia",2022.01.04,2022,1,4,28,24,Outdoor,Hard,"$521,000",USD,521000,/en/scores/archive/melbourne/9665/2022/results,Rafael Nadal,/en/players/rafael-nadal/n409/overview,rafael-nadal,n409,Wesley Koolhof,/en/players/wesley-koolhof/kc41/overview,wesley-koolhof,kc41,Neal Skupski,/en/players/neal-skupski/sl22/overview,neal-skupski,sl22
2022-9663,4,ATP 250,Sydney,9663,sydney,"Sydney, Australia",2022.01.10,2022,1,10,28,24,Outdoor,Hard,"$521,000",USD,521000,/en/scores/archive/sydney/9663/2022/results,Aslan Karatsev,/en/players/aslan-karatsev/kc56/overview,aslan-karatsev,kc56,Filip Polasek,/en/players/filip-polasek/pa46/overview,filip-polasek,pa46,John Peers,/en/players/john-peers/pc96/overview,john-peers,pc96
2022-9667,5,ATP 250,Adelaide 2,9667,adelaide,"Adelaide, Australia",2022.01.10,2022,1,10,28,24,Outdoor,Hard,"$493,875",USD,493875,/en/scores/archive/adelaide/9667/2022/results,Thanasi Kokkinakis,/en/players/thanasi-kokkinakis/kd46/overview,thanasi-kokkinakis,kd46,Wesley Koolhof,/en/players/wesley-koolhof/kc41/overview,wesley-koolhof,kc41,Neal Skupski,/en/players/neal-skupski/sl22/overview,neal-skupski,sl22
2022-580,6,Grand Slam,Australian Open,580,australian-open,"Melbourne, Australia",2022.01.17,2022,1,17,128,64,Outdoor,Hard,"A$33,784,200",AUD,33784200,/en/scores/archive/australian-open/580/2022/results,Rafael Nadal,/en/players/rafael-nadal/n409/overview,rafael-nadal,n409,Thanasi Kokkinakis,/en/players/thanasi-kokkinakis/kd46/overview,thanasi-kokkinakis,kd46,Nick Kyrgios,/en/players/nick-kyrgios/ke17/overview,nick-kyrgios,ke17
2022-9158,7,ATP 250,Cordoba,9158,cordoba,"Cordoba, Argentina",2022.01.31,2022,1,31,28,16,Outdoor,Clay,"$493,875",USD,493875,/en/scores/archive/cordoba/9158/2022/results,Albert Ramos-Vinolas,/en/players/albert-ramos-vinolas/r772/overview,albert-ramos-vinolas,r772,Santiago Gonzalez,/en/players/santiago-gonzalez/g551/overview,santiago-gonzalez,g551,Andres Molteni,/en/players/andres-molteni/me56/overview,andres-molteni,me56
2022-891,8,ATP 250,Pune,891,pune,"Pune, India",2022.01.31,2022,1,31,28,16,Outdoor,Hard,"$493,875",USD,493875,/en/scores/archive/pune/891/2022/results,Joao Sousa,/en/players/joao-sousa/sh90/overview,joao-sousa,sh90,Rohan Bopanna,/en/players/rohan-bopanna/b757/overview,rohan-bopanna,b757,Ramkumar Ramanathan,/en/players/ramkumar-ramanathan/rb56/overview,ramkumar-ramanathan,rb56
2022-375,9,ATP 250,Montpellier,375,montpellier,"Montpellier, France",2022.01.31,2022,1,31,28,16,Indoor,Hard,"€490,990",EUR,490990,/en/scores/archive/montpellier/375/2022/results,Alexander Bublik,/en/players/alexander-bublik/bk92/overview,alexander-bublik,bk92,Pierre-Hugues Herbert,/en/players/pierre-hugues-herbert/h996/overview,pierre-hugues-herbert,h996,Nicolas Mahut,/en/players/nicolas-mahut/m873/overview,nicolas-mahut,m873
2022-407,10,ATP 500,Rotterdam,407,rotterdam,"Rotterdam, Netherlands",2022.02.07,2022,2,7,32,16,Indoor,Hard,"€1,349,070",EUR,1349070,/en/scores/archive/rotterdam/407/2022/results,Felix Auger-Aliassime,/en/players/felix-auger-aliassime/ag37/overview,felix-auger-aliassime,ag37,Robin Haase,/en/players/robin-haase/h756/overview,robin-haase,h756,Matwe Middelkoop,/en/players/matwe-middelkoop/mb88/overview,matwe-middelkoop,mb88
